"","Survived","Pclass","Sex","Age","Fare","Segment_edat","Segment_tarifa","Segment_majors_menors"
"568","0","3","female",29,21.075,"20-30","15-30","Major d'edat"
"570","1","3","male",32,7.8542,"30-40","7-10","Major d'edat"
"571","1","2","male",62,10.5,"60-70","10-15","Major d'edat"
"572","1","1","female",53,51.4792,"50-60","50-200","Major d'edat"
"573","1","1","male",36,26.3875,"30-40","15-30","Major d'edat"
"575","0","3","male",16,8.05,"10-20","7-10","Menor d'edat"
"576","0","3","male",19,14.5,"10-20","10-15","Major d'edat"
"577","1","2","female",34,13,"30-40","10-15","Major d'edat"
"578","1","1","female",39,55.9,"30-40","50-200","Major d'edat"
"580","1","3","male",32,7.925,"30-40","7-10","Major d'edat"
"581","1","2","female",25,30,"20-30","15-30","Major d'edat"
"582","1","1","female",39,110.8833,"30-40","50-200","Major d'edat"
"583","0","2","male",54,26,"50-60","15-30","Major d'edat"
"584","0","1","male",36,40.125,"30-40","30-50","Major d'edat"
"586","1","1","female",18,79.65,"10-20","50-200","Menor d'edat"
"587","0","2","male",47,15,"40-50","10-15","Major d'edat"
"588","1","1","male",60,79.2,"50-60","50-200","Major d'edat"
"589","0","3","male",22,8.05,"20-30","7-10","Major d'edat"
"591","0","3","male",35,7.125,"30-40","7-10","Major d'edat"
"592","1","1","female",52,78.2667,"50-60","50-200","Major d'edat"
"593","0","3","male",47,7.25,"40-50","7-10","Major d'edat"
"595","0","2","male",37,26,"30-40","15-30","Major d'edat"
"596","0","3","male",36,24.15,"30-40","15-30","Major d'edat"
"598","0","3","male",49,0,"40-50",NA,"Major d'edat"
"600","1","1","male",49,56.9292,"40-50","50-200","Major d'edat"
"601","1","2","female",24,27,"20-30","15-30","Major d'edat"
"604","0","3","male",44,8.05,"40-50","7-10","Major d'edat"
"605","1","1","male",35,26.55,"30-40","15-30","Major d'edat"
"606","0","3","male",36,15.55,"30-40","15-30","Major d'edat"
"607","0","3","male",30,7.8958,"20-30","7-10","Major d'edat"
"608","1","1","male",27,30.5,"20-30","30-50","Major d'edat"
"609","1","2","female",22,41.5792,"20-30","30-50","Major d'edat"
"610","1","1","female",40,153.4625,"30-40","50-200","Major d'edat"
"611","0","3","female",39,31.275,"30-40","30-50","Major d'edat"
"615","0","3","male",35,8.05,"30-40","7-10","Major d'edat"
"616","1","2","female",24,65,"20-30","50-200","Major d'edat"
"617","0","3","male",34,14.4,"30-40","10-15","Major d'edat"
"618","0","3","female",26,16.1,"20-30","15-30","Major d'edat"
"619","1","2","female",4,39,"0-10","30-50","Menor d'edat"
"620","0","2","male",26,10.5,"20-30","10-15","Major d'edat"
"621","0","3","male",27,14.4542,"20-30","10-15","Major d'edat"
"622","1","1","male",42,52.5542,"40-50","50-200","Major d'edat"
"623","1","3","male",20,15.7417,"10-20","15-30","Major d'edat"
"624","0","3","male",21,7.8542,"20-30","7-10","Major d'edat"
"625","0","3","male",21,16.1,"20-30","15-30","Major d'edat"
"626","0","1","male",61,32.3208,"60-70","30-50","Major d'edat"
"627","0","2","male",57,12.35,"50-60","10-15","Major d'edat"
"628","1","1","female",21,77.9583,"20-30","50-200","Major d'edat"
"629","0","3","male",26,7.8958,"20-30","7-10","Major d'edat"
"631","1","1","male",80,30,"70-79","15-30","Major d'edat"
"632","0","3","male",51,7.0542,"50-60","7-10","Major d'edat"
"633","1","1","male",32,30.5,"30-40","30-50","Major d'edat"
"635","0","3","female",9,27.9,"0-10","15-30","Menor d'edat"
"636","1","2","female",28,13,"20-30","10-15","Major d'edat"
"637","0","3","male",32,7.925,"30-40","7-10","Major d'edat"
"638","0","2","male",31,26.25,"30-40","15-30","Major d'edat"
"639","0","3","female",41,39.6875,"40-50","30-50","Major d'edat"
"641","0","3","male",20,7.8542,"10-20","7-10","Major d'edat"
"642","1","1","female",24,69.3,"20-30","50-200","Major d'edat"
"643","0","3","female",2,27.9,"0-10","15-30","Menor d'edat"
"646","1","1","male",48,76.7292,"40-50","50-200","Major d'edat"
"647","0","3","male",19,7.8958,"10-20","7-10","Major d'edat"
"648","1","1","male",56,35.5,"50-60","30-50","Major d'edat"
"650","1","3","female",23,7.55,"20-30","7-10","Major d'edat"
"652","1","2","female",18,23,"10-20","15-30","Menor d'edat"
"653","0","3","male",21,8.4333,"20-30","7-10","Major d'edat"
"655","0","3","female",18,6.75,"10-20","0-7","Menor d'edat"
"656","0","2","male",24,73.5,"20-30","50-200","Major d'edat"
"658","0","3","female",32,15.5,"30-40","15-30","Major d'edat"
"659","0","2","male",23,13,"20-30","10-15","Major d'edat"
"660","0","1","male",58,113.275,"50-60","50-200","Major d'edat"
"661","1","1","male",50,133.65,"40-50","50-200","Major d'edat"
"662","0","3","male",40,7.225,"30-40","7-10","Major d'edat"
"663","0","1","male",47,25.5875,"40-50","15-30","Major d'edat"
"664","0","3","male",36,7.4958,"30-40","7-10","Major d'edat"
"665","1","3","male",20,7.925,"10-20","7-10","Major d'edat"
"666","0","2","male",32,73.5,"30-40","50-200","Major d'edat"
"667","0","2","male",25,13,"20-30","10-15","Major d'edat"
"669","0","3","male",43,8.05,"40-50","7-10","Major d'edat"
"671","1","2","female",40,39,"30-40","30-50","Major d'edat"
"672","0","1","male",31,52,"30-40","50-200","Major d'edat"
"673","0","2","male",70,10.5,"60-70","10-15","Major d'edat"
"674","1","2","male",31,13,"30-40","10-15","Major d'edat"
"676","0","3","male",18,7.775,"10-20","7-10","Menor d'edat"
"678","1","3","female",18,9.8417,"10-20","7-10","Menor d'edat"
"679","0","3","female",43,46.9,"40-50","30-50","Major d'edat"
"680","1","1","male",36,512.3292,"30-40","200-600","Major d'edat"
"682","1","1","male",27,76.7292,"20-30","50-200","Major d'edat"
"683","0","3","male",20,9.225,"10-20","7-10","Major d'edat"
"684","0","3","male",14,46.9,"10-20","30-50","Menor d'edat"
"685","0","2","male",60,39,"50-60","30-50","Major d'edat"
"686","0","2","male",25,41.5792,"20-30","30-50","Major d'edat"
"687","0","3","male",14,39.6875,"10-20","30-50","Menor d'edat"
"688","0","3","male",19,10.1708,"10-20","10-15","Major d'edat"
"689","0","3","male",18,7.7958,"10-20","7-10","Menor d'edat"
"690","1","1","female",15,211.3375,"10-20","200-600","Menor d'edat"
"691","1","1","male",31,57,"30-40","50-200","Major d'edat"
"692","1","3","female",4,13.4167,"0-10","10-15","Menor d'edat"
"694","0","3","male",25,7.225,"20-30","7-10","Major d'edat"
"695","0","1","male",60,26.55,"50-60","15-30","Major d'edat"
"696","0","2","male",52,13.5,"50-60","10-15","Major d'edat"
"697","0","3","male",44,8.05,"40-50","7-10","Major d'edat"
"699","0","1","male",49,110.8833,"40-50","50-200","Major d'edat"
"700","0","3","male",42,7.65,"40-50","7-10","Major d'edat"
"701","1","1","female",18,227.525,"10-20","200-600","Menor d'edat"
"702","1","1","male",35,26.2875,"30-40","15-30","Major d'edat"
"703","0","3","female",18,14.4542,"10-20","10-15","Menor d'edat"
"704","0","3","male",25,7.7417,"20-30","7-10","Major d'edat"
"705","0","3","male",26,7.8542,"20-30","7-10","Major d'edat"
"706","0","2","male",39,26,"30-40","15-30","Major d'edat"
"707","1","2","female",45,13.5,"40-50","10-15","Major d'edat"
"708","1","1","male",42,26.2875,"40-50","15-30","Major d'edat"
"709","1","1","female",22,151.55,"20-30","50-200","Major d'edat"
"711","1","1","female",24,49.5042,"20-30","30-50","Major d'edat"
"713","1","1","male",48,52,"40-50","50-200","Major d'edat"
"714","0","3","male",29,9.4833,"20-30","7-10","Major d'edat"
"715","0","2","male",52,13,"50-60","10-15","Major d'edat"
"716","0","3","male",19,7.65,"10-20","7-10","Major d'edat"
"717","1","1","female",38,227.525,"30-40","200-600","Major d'edat"
"718","1","2","female",27,10.5,"20-30","10-15","Major d'edat"
"720","0","3","male",33,7.775,"30-40","7-10","Major d'edat"
"721","1","2","female",6,33,"0-10","30-50","Menor d'edat"
"722","0","3","male",17,7.0542,"10-20","7-10","Menor d'edat"
"723","0","2","male",34,13,"30-40","10-15","Major d'edat"
"724","0","2","male",50,13,"40-50","10-15","Major d'edat"
"725","1","1","male",27,53.1,"20-30","50-200","Major d'edat"
"726","0","3","male",20,8.6625,"10-20","7-10","Major d'edat"
"727","1","2","female",30,21,"20-30","15-30","Major d'edat"
"729","0","2","male",25,26,"20-30","15-30","Major d'edat"
"730","0","3","female",25,7.925,"20-30","7-10","Major d'edat"
"731","1","1","female",29,211.3375,"20-30","200-600","Major d'edat"
"732","0","3","male",11,18.7875,"10-20","15-30","Menor d'edat"
"734","0","2","male",23,13,"20-30","10-15","Major d'edat"
"735","0","2","male",23,13,"20-30","10-15","Major d'edat"
"737","0","3","female",48,34.375,"40-50","30-50","Major d'edat"
"738","1","1","male",35,512.3292,"30-40","200-600","Major d'edat"
"742","0","1","male",36,78.85,"30-40","50-200","Major d'edat"
"743","1","1","female",21,262.375,"20-30","200-600","Major d'edat"
"744","0","3","male",24,16.1,"20-30","15-30","Major d'edat"
"745","1","3","male",31,7.925,"30-40","7-10","Major d'edat"
"746","0","1","male",70,71,"60-70","50-200","Major d'edat"
"747","0","3","male",16,20.25,"10-20","15-30","Menor d'edat"
"748","1","2","female",30,13,"20-30","10-15","Major d'edat"
"749","0","1","male",19,53.1,"10-20","50-200","Major d'edat"
"750","0","3","male",31,7.75,"30-40","7-10","Major d'edat"
"751","1","2","female",4,23,"0-10","15-30","Menor d'edat"
"752","1","3","male",6,12.475,"0-10","10-15","Menor d'edat"
"753","0","3","male",33,9.5,"30-40","7-10","Major d'edat"
"754","0","3","male",23,7.8958,"20-30","7-10","Major d'edat"
"755","1","2","female",48,65,"40-50","50-200","Major d'edat"
"757","0","3","male",28,7.7958,"20-30","7-10","Major d'edat"
"758","0","2","male",18,11.5,"10-20","10-15","Menor d'edat"
"759","0","3","male",34,8.05,"30-40","7-10","Major d'edat"
"760","1","1","female",33,86.5,"30-40","50-200","Major d'edat"
"762","0","3","male",41,7.125,"40-50","7-10","Major d'edat"
"763","1","3","male",20,7.2292,"10-20","7-10","Major d'edat"
"764","1","1","female",36,120,"30-40","50-200","Major d'edat"
"765","0","3","male",16,7.775,"10-20","7-10","Menor d'edat"
"766","1","1","female",51,77.9583,"50-60","50-200","Major d'edat"
"770","0","3","male",32,8.3625,"30-40","7-10","Major d'edat"
"771","0","3","male",24,9.5,"20-30","7-10","Major d'edat"
"772","0","3","male",48,7.8542,"40-50","7-10","Major d'edat"
"773","0","2","female",57,10.5,"50-60","10-15","Major d'edat"
"775","1","2","female",54,23,"50-60","15-30","Major d'edat"
"776","0","3","male",18,7.75,"10-20","7-10","Menor d'edat"
"778","1","3","female",5,12.475,"0-10","10-15","Menor d'edat"
"780","1","1","female",43,211.3375,"40-50","200-600","Major d'edat"
"781","1","3","female",13,7.2292,"10-20","7-10","Menor d'edat"
"782","1","1","female",17,57,"10-20","50-200","Menor d'edat"
"783","0","1","male",29,30,"20-30","15-30","Major d'edat"
"785","0","3","male",25,7.05,"20-30","7-10","Major d'edat"
"786","0","3","male",25,7.25,"20-30","7-10","Major d'edat"
"787","1","3","female",18,7.4958,"10-20","7-10","Menor d'edat"
"788","0","3","male",8,29.125,"0-10","15-30","Menor d'edat"
"789","1","3","male",1,20.575,"0-10","15-30","Menor d'edat"
"790","0","1","male",46,79.2,"40-50","50-200","Major d'edat"
"792","0","2","male",16,26,"10-20","15-30","Menor d'edat"
"795","0","3","male",25,7.8958,"20-30","7-10","Major d'edat"
"796","0","2","male",39,13,"30-40","10-15","Major d'edat"
"797","1","1","female",49,25.9292,"40-50","15-30","Major d'edat"
"798","1","3","female",31,8.6833,"30-40","7-10","Major d'edat"
"799","0","3","male",30,7.2292,"20-30","7-10","Major d'edat"
"800","0","3","female",30,24.15,"20-30","15-30","Major d'edat"
"801","0","2","male",34,13,"30-40","10-15","Major d'edat"
"802","1","2","female",31,26.25,"30-40","15-30","Major d'edat"
"803","1","1","male",11,120,"10-20","50-200","Menor d'edat"
"805","1","3","male",27,6.975,"20-30","0-7","Major d'edat"
"806","0","3","male",31,7.775,"30-40","7-10","Major d'edat"
"807","0","1","male",39,0,"30-40",NA,"Major d'edat"
"808","0","3","female",18,7.775,"10-20","7-10","Menor d'edat"
"809","0","2","male",39,13,"30-40","10-15","Major d'edat"
"810","1","1","female",33,53.1,"30-40","50-200","Major d'edat"
"811","0","3","male",26,7.8875,"20-30","7-10","Major d'edat"
"812","0","3","male",39,24.15,"30-40","15-30","Major d'edat"
"813","0","2","male",35,10.5,"30-40","10-15","Major d'edat"
"814","0","3","female",6,31.275,"0-10","30-50","Menor d'edat"
"817","0","3","female",23,7.925,"20-30","7-10","Major d'edat"
"818","0","2","male",31,37.0042,"30-40","30-50","Major d'edat"
"819","0","3","male",43,6.45,"40-50","0-7","Major d'edat"
"820","0","3","male",10,27.9,"0-10","15-30","Menor d'edat"
"821","1","1","female",52,93.5,"50-60","50-200","Major d'edat"
"822","1","3","male",27,8.6625,"20-30","7-10","Major d'edat"
"823","0","1","male",38,0,"30-40",NA,"Major d'edat"
"824","1","3","female",27,12.475,"20-30","10-15","Major d'edat"
"825","0","3","male",2,39.6875,"0-10","30-50","Menor d'edat"
"828","1","2","male",1,37.0042,"0-10","30-50","Menor d'edat"
"830","1","1","female",62,80,"60-70","50-200","Major d'edat"
"831","1","3","female",15,14.4542,"10-20","10-15","Menor d'edat"
"834","0","3","male",23,7.8542,"20-30","7-10","Major d'edat"
"835","0","3","male",18,8.3,"10-20","7-10","Menor d'edat"
"836","1","1","female",39,83.1583,"30-40","50-200","Major d'edat"
"837","0","3","male",21,8.6625,"20-30","7-10","Major d'edat"
"839","1","3","male",32,56.4958,"30-40","50-200","Major d'edat"
"841","0","3","male",20,7.925,"10-20","7-10","Major d'edat"
"842","0","2","male",16,10.5,"10-20","10-15","Menor d'edat"
"843","1","1","female",30,31,"20-30","30-50","Major d'edat"
"845","0","3","male",17,8.6625,"10-20","7-10","Menor d'edat"
"846","0","3","male",42,7.55,"40-50","7-10","Major d'edat"
"848","0","3","male",35,7.8958,"30-40","7-10","Major d'edat"
"849","0","2","male",28,33,"20-30","30-50","Major d'edat"
"851","0","3","male",4,31.275,"0-10","30-50","Menor d'edat"
"852","0","3","male",74,7.775,"70-79","7-10","Major d'edat"
"853","0","3","female",9,15.2458,"0-10","15-30","Menor d'edat"
"854","1","1","female",16,39.4,"10-20","30-50","Menor d'edat"
"855","0","2","female",44,26,"40-50","15-30","Major d'edat"
"856","1","3","female",18,9.35,"10-20","7-10","Menor d'edat"
"857","1","1","female",45,164.8667,"40-50","50-200","Major d'edat"
"858","1","1","male",51,26.55,"50-60","15-30","Major d'edat"
"859","1","3","female",24,19.2583,"20-30","15-30","Major d'edat"
"861","0","3","male",41,14.1083,"40-50","10-15","Major d'edat"
"862","0","2","male",21,11.5,"20-30","10-15","Major d'edat"
"863","1","1","female",48,25.9292,"40-50","15-30","Major d'edat"
"865","0","2","male",24,13,"20-30","10-15","Major d'edat"
"866","1","2","female",42,13,"40-50","10-15","Major d'edat"
"867","1","2","female",27,13.8583,"20-30","10-15","Major d'edat"
"868","0","1","male",31,50.4958,"30-40","50-200","Major d'edat"
"870","1","3","male",4,11.1333,"0-10","10-15","Menor d'edat"
"871","0","3","male",26,7.8958,"20-30","7-10","Major d'edat"
"872","1","1","female",47,52.5542,"40-50","50-200","Major d'edat"
"873","0","1","male",33,5,"30-40","0-7","Major d'edat"
"874","0","3","male",47,9,"40-50","7-10","Major d'edat"
"875","1","2","female",28,24,"20-30","15-30","Major d'edat"
"876","1","3","female",15,7.225,"10-20","7-10","Menor d'edat"
"877","0","3","male",20,9.8458,"10-20","7-10","Major d'edat"
"878","0","3","male",19,7.8958,"10-20","7-10","Major d'edat"
"880","1","1","female",56,83.1583,"50-60","50-200","Major d'edat"
"881","1","2","female",25,26,"20-30","15-30","Major d'edat"
"882","0","3","male",33,7.8958,"30-40","7-10","Major d'edat"
"883","0","3","female",22,10.5167,"20-30","10-15","Major d'edat"
"884","0","2","male",28,10.5,"20-30","10-15","Major d'edat"
"885","0","3","male",25,7.05,"20-30","7-10","Major d'edat"
"886","0","3","female",39,29.125,"30-40","15-30","Major d'edat"
"887","0","2","male",27,13,"20-30","10-15","Major d'edat"
"888","1","1","female",19,30,"10-20","15-30","Major d'edat"
"890","1","1","male",26,30,"20-30","15-30","Major d'edat"
"891","0","3","male",32,7.75,"30-40","7-10","Major d'edat"
